comment,Sentiment,Confidence
这不是废话，35岁快乐,0,0.95677
这么多人结婚，是我没想到的,2,0.735447
还是太多了,0,0.892036
穷,0,0.99705
会遗憾，但不后悔,2,0.840477
真的吗,0,0.940781
我身为90后连婚都不结,0,0.836665
废话，真的超快乐,0,0.995456
普通人对孩子最大的恩赐就是让他不要降临在这世上,0,0.319313
还是多,2,0.143378
我不想让后代吃我吃过的苦，所以不想生,0,0.943352
离婚的也多,0,0.905648
为啥不降房价,0,0.994113
急诊工作的我哭出声来,2,0.242139
那是相当相当的快乐,0,0.999715
人说的话哪有几句真的,0,0.954415
挺快乐的，真的，想想生孩子就愁,0,0.974616
把中国财富好好平均一下就生了,0,0.195014
别担心,2,0.943959
宁缺毋滥,2,0.560482
夹带私货了吧,1,0.417138
卧槽 最穷还敢生三胎？怎么想的,0,0.999934
900万还少啊,0,0.986687
住房讲一些,0,0.0165598
这么多,0,0.0371734
挺好的,2,0.99812
营销，房子，价值观,0,0.88726
遥遥领先,2,0.965683
结结结，生生生，说话谁不会啊,0,0.875091
这个能信是猪,0,0.945553
是无奈的,0,0.987945
无比快乐,0,0.999748
遥遥领先,2,0.965683
广东确实重男，但是绝对不轻女,0,0.571344
笑死,0,0.984829
能养活我自己 就已经很了不起了,0,0.87866
村支书与妇女主任就非常快乐,0,0.986474
国庆去参加婚礼，住的酒店一天中午11对结婚的,2,0.997604
没错你爱说啥说啥我的人生我自己过,0,0.878553
呼和浩特二三胎家庭补贴5000,2,0.61385
只活到60岁是幸福的 只活到70岁没病没痛也是幸福的。但是结了婚有了孩子活到了80不一定幸福,0,0.425351
把房价打下来才是王道,0,0.892297
反正我单身，我快乐啊,0,0.960346
太对了,2,0.983809
快乐极了,0,0.999647
生男赔钱,0,0.932468
马来西亚二十年前就这样了,0,0.440242
遥遥领先,2,0.965683
求爷爷告奶奶的上学,2,0.970901
就是清醒了 不被pua了,0,0.506757
好的好的,2,0.998156
降至5亿人最好，鲶鱼死绝更好！,2,0.922311
我要有个闺女我真是积德了,1,0.860041
挺好,2,0.997276
我妈说以后一定要结婚生子，以后养老，我说同性恋的事，反应很激烈,2,0.0780222
这些是五六年前的问题，现在的问题在于女人在面对婚姻问题时让男人心寒胆怯,0,0.888792
快乐的一比,0,0.998551
地址正确,2,0.887174
我家两个女孩，广东,2,0.838814
遥遥领先,2,0.965683
单身26年，不快乐,0,0.163678
真快乐,0,0.897585
三、是活着没有尊严，干得越多，越多活干,0,0.981338
确实是红利,0,0.163243
遥遥领先,2,0.965683
还是太多了,0,0.892036
专家:可以先结婚，然后再工作，实在不行把房子租出去,0,0.917129
那是相当快乐,0,0.999478
快乐到你无法想象,0,0.988497
nas那是相当快乐,0,0.9977
可太快乐了,0,0.995067
首先找不到对象，找到的没钱生不敢生,0,0.925506
整顿职场，你是看电视看多了吧！,0,0.979552
要一个刚入社会的男孩有车有房有存款，学历还不能低，太难了。,0,0.983842
还不够,0,0.99601
操操,0,0.99989
没有，今年也是900多万,0,0.906944
穷,0,0.99705
zz,2,0.841642
别天天扯地域好吧？各地都有,0,0.968289
。。我甚至不谈恋爱 爽的要死好吗,0,0.928532
房价还是太低了，继续涨啊！DOG,0,0.967423
确实，到社会后学校教的三观全部破碎。且破碎越早的混的好，,0,0.99096
遥遥领先,2,0.965683
只能说没钱,0,0.99862
男女比例是多少,1,0.25389
不自由，宁勿死。,0,0.997438
像，太像了,0,0.845199
遥遥领先,2,0.965683
这不全都是好事嘛！,0,0.63897
这个未来有没有我都还成问题,0,0.817579
然而事实是也就网上反击而已,0,0.985595
\,2,0.569182
家里有好多房子要继承，肯定得男孩,2,0.900426
挺快乐的,0,0.999648
拖孩,1,1
儒家思想甄姬吧害人啊,0,0.976183
主要是食品安全,2,0.855812
真快乐啊,0,0.641351
还没一个退休公务员的工资高。,0,0.992765
不好意思，85后只想单着,0,0.612712
全中，别结婚,2,0.972742
你确定不是因为生了儿子后就不敢再生了,0,0.996032
养了个猫子，超快乐！,0,0.99976
太慢了,0,0.999989
那你去找别人干吧,0,0.983455
太多了,0,0.867628
花200就能解决的问题，为什么要花20万？,0,0.990797
没有烦恼就是最大的快乐～,0,0.997186
还是太多了。,0,0.834897
花200,2,0.350045
好好好,0,0.999795
福建才不会这样，我身边好多都是只生女儿的,0,0.835364
大部分能养一个孩子就不错了,0,0.950799
保护,0,0.887793
保护,0,0.887793
四幼制,2,0.88514
马上奔四了。暂时快乐,0,0.988527
好好好,0,0.999795
好哇！,2,0.999063
人口多的一线城市房价还是会居高不下,2,0.436767
主要是结了婚防不住出轨女人生了孩子没有保障,0,0.990399
好，好 ，，,2,0.999552
全尼玛给房贷了！我觉得身体还每况愈下！,0,0.999584
笑死,0,0.984829
又不肯给钱怎么生啊，苏州还是杭州二胎给五千块还是七千块，而且还是一次性的，这点钱都不够把小孩子养到一岁,0,0.999626
再创新低！好！,2,0.994571
再接再厉,2,0.998865
这才是正确的～你看看欧洲那些生活环境就知道了,2,0.881659
好,2,0.998993
好好好,0,0.999795
这么多？,0,0.986695
买房买车的首付，不得用几年时间去挣嘛,0,0.30981
好好好,0,0.999795
扯淡  我家亲戚里面10个有8个是男孩  做梦都想要个女孩,0,0.992282
广州土著表示女孩好～招商银行呢233,2,0.868454
快乐,0,0.999885
我倒是想要女儿,2,0.47306
没肩负责任的单身狗当然抬杠得有理有据，成家立业没资源没背景按照常理去走才能留得一条狗命。,0,0.990886
二婚的算了嘛？,0,0.98333
你就不是年轻人了？,0,0.998011
这话说的，你币有了,0,0.951043
韩国怀孕还得给老公备饭做家务整理衣服，能生才怪呢,0,0.941253
吃瓜吃到自己家,0,0.565711
找到兴趣相投的另外一半，丁克过日子，这就最好，不然就一个人吧,2,0.636192
是的，这样不好,0,0.995719
快乐！,0,0.999865
保护,0,0.887793
30！,2,0.856992
思想开放的表现不是坏事～,0,0.0965501
越看越通透,2,0.998362
我们这边85后结婚的就少了,1,0.893696
捏妈,0,0.974194
快乐的无法想象,0,0.913263
过于真实,0,0.950353
我很快乐，经常可以几百块钱爱情,0,0.988029
催了也没用,0,0.999738
我86年的，现在还是单身狗,0,0.191446
不是不想结不想生，是因为要负责任，我没有能力承担这个责任也没钱,0,0.999013
我把自己的人生过好就已经很不容易了,0,0.957898
保护,0,0.887793
是的,2,0.110777
福建广东，女孩不太当人,0,0.641515
离婚后太爽了,0,1
不快乐，但是没有各方面的压力,0,0.542361
也代表我的看法,2,0.609079
干得漂亮！,2,0.999617
找不到有共鸣的人,0,0.517771
加油我们是冠军,2,0.998615
你这么迟钝？,0,0.999652
人又多 工作距离住址又远 累不累，发展AI的目的是什么也不知道 ,0,0.89372
还有800W急什么,0,0.513612
保护,0,0.887793
不，也算我一个,0,0.707152
？,0,0.993778
很赞同up,2,0.996969
保护,0,0.887793
穷！,0,0.99757
房的压力 工作的压力,1,0.0354624
我都43了还单着呢！挺快乐的啊！,0,0.992493
保护,0,0.887793
还有800万人想不通 哈哈哈,2,0.364336
那可是相当的快乐。,0,0.997006
管他那么多 把自己的人生过好就行,0,0.749393
想多了，不是担心不挤，而是医院产科不存在。,0,0.352881
加油！加油！,2,0.999968
房子都买不起，谁跟你结婚啊？房价是哪个公司调控的啊？o.0？,0,0.998233
确实,0,0.483035
妈呀贵阳青云市集,2,0.703667
但是我可能连“现在”都没有,0,0.775234
也代表我的看法,2,0.609078
可太快乐了  ,0,0.995067
师傅别念了，开始窒息了,2,0.7412
太清醒拉,0,0.967853
快乐啊！,0,0.999407
快乐啊不谈恋爱更快乐,0,0.997471
遥遥领先,2,0.965683
必须三连  说出我的心声了 上面已没信任可言,0,0.995763
遥遥领先,2,0.965683
中国不缺我一个，谁想谁生去吧,0,0.991688
加油，继续减！人口降到3，4E的时候，日子就好过了,2,0.990156
你能解决父母的执着吗？广东人路过,0,0.86159
结婚干什么呢，养的活自己吗？娶得起老婆吗？乐，就应该跌的这么惨。,0,0.999477
我点赞了，你呢？？,2,0.988233
保护,0,0.887793
好，太好了，就应该这样。,2,0.999422
不是不结婚 是结不起,0,0.996815
遥遥领先,2,0.965683
也是我的看法,2,0.286683
太对啦,2,0.147827
听君一席话,2,0.473339
遥遥领先,2,0.965683
6,2,0.9009
跑得快好啊,2,0.989835
好,2,0.998993
怎么没有字幕了呀,0,0.970026
hhhhhhhhhhhhh笑死我了这种人也有工资哈哈哈哈,1,0.445044
总结：没钱，物价高，伴侣不诚信,0,0.998862
保护保护,0,0.935989
我们的快乐也是他们想象不到的,0,0.89679
这滑梯？,0,0.858301
特别清醒的快乐,0,0.99982
快乐死了，你无法想象我有多快乐,0,0.953381
好好好！,0,0.999839
保护,0,0.887793
肯定快乐啊,0,0.999267
不是情绪好不好，咱都没脾气了是不是,0,0.997729
社會開放了，女的都不新鮮了，誰願意結婚啊，玩唄,0,0.913306
我们家庭真的没人说女性，而且我们家庭也不是那种富裕家庭,0,0.84394
还有进步空间呀,2,0.874946
没钱（既答）,0,0.982926
投币投币,0,0.881936
豪车3元优惠券,2,0.960504
铁锤结婚没有？,0,0.991461
豪车,2,0.959409
哈哈哈“身边”统计学,2,0.988544
暂停公布哈哈哈哈哈,2,0.949529
还有这么多？,0,0.967046
能预测到未来的苦难并及时在当下降低或终止风险才是当代人该有的觉悟,2,0.10649
遥遥领先,2,0.965683
动物会在安全的情况下才会选择繁育,2,0.33497
好好好！,0,0.999839
如果结婚是好事的话还用得着催吗,0,0.992793
怎么说都比结快乐啊想想就知道,0,0.258875
判官是真的正义,2,0.765889
这种种迹象不都是好事吗？,0,0.997585
男女对立,2,0.921817
有没有可能，社会是多样的,0,0.0305927
还是太多了,0,0.892036
我在其中贡献了一份力量！虽然我不年轻了！,2,0.985109
这才叫独立思考,2,0.989845
好好好！,0,0.999839
我31女目前还蛮快乐,0,0.993904
真的很快乐,0,0.999655
我恨不得特么天天生孩子,0,0.951333
不快乐，但压力没那么大,0,0.0804708
好像有点快乐…哈哈哈哈哈哈,0,0.977655
遥遥领先,2,0.965683
哪有不会的,0,0.944551
 还有900多万，我去,2,0.84291
保护阿婆主,0,0.924524
现在想要女孩才导致男孩多,1,0.403608
哈哈哈哈哈哈哈哈哈好真实,2,0.998456
